,country,male_life_expectancy,female_life_expectancy,birth_rate,death_rate,stability,rights,health,safety,climate,costs,popularity,iq,education_expenditure_per_inhabitant,daily_max_temp,area,population,pop_per_km_sq,male_height,female_height,male_weight,female_weight,male_bmi,female_bmi
60,Poland,72.6,80.8,9.4,12.6,69.0,67.0,79.0,93.0,27.0,58.0,52.0,97.0,298,13.4,312680.0,37.78 M,120.8,180.0,165.0,89.0,71.5,27.4,26.1
61,Brazil,72.5,79.7,13.5,6.6,37.0,45.0,63.0,60.0,65.0,44.0,32.0,83.0,223,30.7,8515770.0,213.99 M,25.1,175.0,162.0,80.7,70.3,26.3,26.8
62,Mexico,72.3,77.9,17.0,6.2,46.0,37.0,54.0,52.0,82.0,34.0,53.0,86.0,279,29.8,1964375.0,130.26 M,66.3,170.0,157.0,79.3,70.7,27.5,28.5
63,Hungary,72.3,79.1,9.6,14.5,70.0,57.0,81.0,88.0,43.0,56.0,48.0,98.0,392,16.6,,,,176.0,162.0,87.6,70.1,28.2,26.6
64,Armenia,71.5,78.7,13.3,9.8,36.0,51.0,70.0,93.0,50.0,57.0,23.0,92.0,32,14.8,,,,,,,,,
65,Vietnam,71.4,79.6,16.1,6.4,67.0,35.0,54.0,76.0,52.0,51.0,34.0,94.0,26,28.8,331230.0,98.17 M,296.4,168.0,158.0,61.2,54.0,21.7,21.7
66,Serbia,71.4,77.2,8.9,16.9,54.0,44.0,71.0,87.0,51.0,57.0,11.0,89.0,164,18.3,,,,180.0,168.0,86.9,72.6,26.7,25.7
67,Bangladesh,71.1,74.9,17.5,5.5,43.0,26.0,44.0,74.0,50.0,61.0,33.0,77.0,9,29.8,147630.0,166.30 M,1126.5,165.0,152.0,57.7,50.5,21.3,21.8
68,Latvia,70.9,80.1,9.2,15.2,74.0,74.0,77.0,87.0,19.0,55.0,23.0,,,,,,,180.0,168.0,87.9,74.5,27.1,26.4
69,Mauritius,70.9,77.7,10.6,8.7,,,,,,,,87.0,167,26.8,2040.0,1.27 M,620.6,173.0,159.0,73.6,65.7,24.6,26.0
70,Azerbaijan,70.6,75.6,12.5,7.5,46.0,24.0,70.0,38.0,56.0,64.0,19.0,87.0,57,20.5,,,,,,,,,
71,Romania,70.5,78.4,9.2,15.4,64.0,57.0,73.0,88.0,37.0,68.0,24.0,90.0,120,16.0,238400.0,19.12 M,80.2,177.0,164.0,85.1,72.2,27.1,26.8
72,Lithuania,70.1,80.0,9.0,15.6,77.0,75.0,82.0,88.0,20.0,43.0,23.0,,,,,,,180.0,167.0,88.1,73.1,27.1,26.1
73,Bulgaria,69.9,77.5,8.5,18.0,68.0,51.0,81.0,85.0,49.0,62.0,39.0,91.0,114,18.1,,,,173.0,164.0,81.8,69.6,27.2,25.9
74,Egypt,69.9,74.5,25.1,5.7,36.0,26.0,44.0,83.0,67.0,59.0,45.0,83.0,58,30.0,1001450.0,104.26 M,104.1,173.0,160.0,83.1,80.5,27.8,31.4
75,Indonesia,69.8,74.2,17.4,6.6,61.0,44.0,39.0,98.0,40.0,54.0,39.0,84.0,29,31.6,1913580.0,276.36 M,144.4,166.0,154.0,61.4,56.2,22.4,23.7
76,Nepal,69.5,72.5,19.3,6.3,53.0,35.0,34.0,89.0,56.0,57.0,28.0,77.0,10,24.8,,,,164.0,152.0,60.5,51.6,22.5,22.3
